# Donnees Temperature / Potentiel(calibré),pour V :  écart type =5.406117628637936 et moyenne = 266.17977528089887
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,280.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,280.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,280.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
