# Donnees Temperature / Potentiel(calibré),pour V :  écart type =4.873450586228392 et moyenne = 228.6734693877551
21.74,230.00
21.78,230.00
21.78,230.00
21.74,220.00
21.78,230.00
21.74,230.00
21.74,230.00
21.74,230.00
21.78,230.00
21.74,220.00
21.74,220.00
21.78,230.00
21.78,230.00
21.74,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,240.00
21.78,230.00
21.74,230.00
21.74,220.00
21.78,220.00
21.74,220.00
21.74,230.00
21.74,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,240.00
21.74,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.74,230.00
21.74,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.74,220.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,220.00
21.78,220.00
21.78,220.00
21.78,220.00
21.78,220.00
21.78,220.00
21.74,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,240.00
21.78,230.00
21.78,220.00
21.78,230.00
21.81,230.00
21.74,220.00
21.78,220.00
21.81,220.00
21.78,230.00
21.78,230.00
21.74,220.00
21.74,240.00
21.78,230.00
21.74,230.00
21.81,230.00
21.78,230.00
21.78,210.00
21.78,230.00
21.78,230.00
21.78,240.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,210.00
21.78,230.00
21.78,240.00
21.78,230.00
21.81,230.00
21.78,230.00
21.78,220.00
21.78,230.00
21.81,230.00
21.78,230.00
21.74,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,240.00
21.81,230.00
21.78,230.00
21.78,230.00
21.78,220.00
21.78,230.00
21.78,230.00
21.78,220.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.81,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.81,230.00
21.78,230.00
21.78,220.00
21.78,210.00
21.78,230.00
21.74,230.00
21.78,230.00
21.78,230.00
21.81,230.00
21.81,230.00
21.78,220.00
21.78,230.00
21.78,230.00
21.78,230.00
21.81,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.81,230.00
21.78,230.00
21.81,230.00
21.81,230.00
21.78,230.00
21.81,230.00
21.78,230.00
21.81,230.00
21.81,220.00
21.81,230.00
21.81,230.00
21.81,230.00
21.81,220.00
21.78,230.00
21.81,230.00
21.81,220.00
21.78,220.00
21.78,230.00
21.78,230.00
21.78,230.00
21.81,220.00
21.81,230.00
21.78,230.00
21.78,230.00
21.78,230.00
21.81,230.00
21.78,230.00
21.81,240.00
21.81,230.00
21.78,230.00
21.78,230.00
21.81,230.00
21.81,230.00
21.78,230.00
21.81,230.00
21.81,230.00
21.81,230.00
21.81,230.00
21.81,230.00
21.78,230.00
21.78,230.00
21.81,230.00
21.81,230.00
21.81,230.00
21.81,230.00
21.81,230.00
21.81,230.00
21.81,230.00
21.81,230.00
21.78,230.00
21.81,220.00
21.81,220.00
21.81,230.00
21.81,230.00
21.81,230.00
21.81,230.00
21.81,230.00
21.81,240.00
21.81,230.00
21.81,230.00
21.81,220.00
21.81,230.00
21.81,230.00
21.81,230.00
