# Donnees Temperature / Potentiel(calibré),pour V :  écart type =5.509861158179744 et moyenne = 394.30656934306563
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,380.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,380.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,380.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,380.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,410.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
