# Donnees Temperature / Potentiel(calibré),pour V :  écart type =5.282719753278174 et moyenne = 240.56451612903226
21.85,240.00
21.88,240.00
21.85,240.00
21.85,250.00
21.85,240.00
21.85,240.00
21.85,240.00
21.85,240.00
21.85,240.00
21.88,250.00
21.88,240.00
21.85,240.00
21.85,250.00
21.85,250.00
21.85,240.00
21.85,240.00
21.85,250.00
21.85,230.00
21.85,240.00
21.85,250.00
21.85,240.00
21.85,240.00
21.85,230.00
21.85,230.00
21.85,240.00
21.81,240.00
21.81,240.00
21.81,240.00
21.85,240.00
21.85,230.00
21.85,240.00
21.85,240.00
21.85,240.00
21.85,240.00
21.81,240.00
21.85,240.00
21.85,240.00
21.81,240.00
21.85,230.00
21.85,230.00
21.81,230.00
21.85,240.00
21.81,240.00
21.81,240.00
21.81,240.00
21.81,240.00
21.81,230.00
21.81,230.00
21.81,240.00
21.81,240.00
21.81,240.00
21.81,250.00
21.81,250.00
21.81,250.00
21.78,240.00
21.81,240.00
21.78,240.00
21.78,240.00
21.78,240.00
21.81,240.00
21.81,240.00
21.78,240.00
21.78,240.00
21.78,240.00
21.78,240.00
21.78,240.00
21.78,240.00
21.78,240.00
21.78,240.00
21.78,240.00
21.74,240.00
21.78,240.00
21.81,240.00
21.78,240.00
21.78,240.00
21.78,240.00
21.78,240.00
21.81,240.00
21.78,240.00
21.78,240.00
21.78,240.00
21.78,230.00
21.78,240.00
21.74,240.00
21.74,240.00
21.74,250.00
21.78,240.00
21.78,240.00
21.78,240.00
21.74,240.00
21.74,230.00
21.78,250.00
21.74,250.00
21.74,240.00
21.74,230.00
21.74,240.00
21.78,250.00
21.74,250.00
21.74,240.00
21.74,240.00
21.74,240.00
21.74,250.00
21.74,240.00
21.78,240.00
21.74,230.00
21.74,250.00
21.74,230.00
21.74,240.00
21.74,250.00
21.74,240.00
21.74,240.00
21.74,240.00
21.71,250.00
21.71,240.00
21.71,240.00
21.74,240.00
21.71,240.00
21.71,250.00
21.71,240.00
21.74,240.00
21.74,240.00
21.74,240.00
21.71,250.00
21.74,250.00
21.74,240.00
21.74,240.00
21.74,240.00
21.78,250.00
21.74,240.00
21.78,240.00
21.78,240.00
21.74,250.00
21.78,240.00
21.78,240.00
