# Donnees Temperature / Potentiel(calibré),pour V :  écart type =5.962818082690584 et moyenne = 236.83544303797467
-242.02,1270.00
-242.02,250.00
-242.02,240.00
-242.02,250.00
-242.02,250.00
-242.02,240.00
-242.02,250.00
-242.02,250.00
-242.02,240.00
-242.02,250.00
-242.02,230.00
-242.02,250.00
-242.02,240.00
-242.02,250.00
-242.02,250.00
-242.02,250.00
-242.02,250.00
-242.02,240.00
-242.02,250.00
-242.02,250.00
-242.02,240.00
-242.02,250.00
-242.02,240.00
-242.02,240.00
-242.02,250.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,250.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,250.00
-242.02,240.00
-242.02,240.00
-242.02,250.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,250.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,220.00
-242.02,230.00
-242.02,240.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,230.00
-242.02,230.00
-242.02,240.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,250.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,250.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,230.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,230.00
-242.02,240.00
-242.02,240.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,240.00
-242.02,220.00
-242.02,230.00
-242.02,230.00
-242.02,230.00
-242.02,240.00
-242.02,230.00
-242.02,220.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
-242.02,240.00
