# Donnees Temperature / Voltage (calibré),pour V :  écart type =5.806031346797916 et moyenne = 302.70000000000005
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,280.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,290.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,320.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,290.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,310.00
-242.02,290.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
