# Donnees Temperature / Potentiel(calibré),pour V :  écart type =8.094788166662326 et moyenne = 375.9304347826087
-242.02,450.00
-242.02,440.00
-242.02,440.00
-242.02,450.00
-242.02,440.00
-242.02,440.00
-242.02,430.00
-242.02,430.00
-242.02,430.00
-242.02,440.00
-242.02,430.00
-242.02,440.00
-242.02,430.00
-242.02,440.00
-242.02,440.00
-242.02,430.00
-242.02,440.00
-242.02,430.00
-242.02,440.00
-242.02,430.00
-242.02,430.00
-242.02,440.00
-242.02,430.00
-242.02,430.00
-242.02,430.00
-242.02,430.00
-242.02,430.00
-242.02,430.00
-242.02,430.00
-242.02,430.00
-242.02,430.00
-242.02,440.00
-242.02,410.00
-242.02,430.00
-242.02,420.00
-242.02,420.00
-242.02,430.00
-242.02,420.00
-242.02,420.00
-242.02,420.00
-242.02,410.00
-242.02,420.00
-242.02,410.00
-242.02,410.00
-242.02,410.00
-242.02,410.00
-242.02,410.00
-242.02,410.00
-242.02,410.00
-242.02,410.00
-242.02,410.00
-242.02,410.00
-242.02,410.00
-242.02,410.00
-242.02,410.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,410.00
-242.02,400.00
-242.02,400.00
-242.02,410.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,410.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,410.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
-242.02,400.00
-242.02,390.00
