# Donnees Temperature / Potentiel(calibré),pour V :  écart type =3.4841653640468424 et moyenne = 258.75384615384615
21.47,260.00
21.47,260.00
21.44,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.44,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,250.00
21.47,250.00
21.47,260.00
21.44,260.00
21.44,260.00
21.44,260.00
21.44,260.00
21.47,260.00
21.44,260.00
21.47,260.00
21.47,260.00
21.47,270.00
21.47,260.00
21.47,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,270.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.47,260.00
21.47,260.00
21.51,260.00
21.47,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.54,260.00
21.51,260.00
21.54,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.54,260.00
21.54,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.47,270.00
21.51,260.00
21.47,250.00
21.47,260.00
21.47,260.00
21.51,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.44,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.44,260.00
21.47,250.00
21.44,260.00
21.44,260.00
21.44,260.00
21.44,260.00
21.47,260.00
21.47,260.00
21.44,260.00
21.47,250.00
21.44,260.00
21.44,260.00
21.44,260.00
21.47,260.00
21.47,260.00
21.44,260.00
21.44,260.00
21.44,260.00
21.47,260.00
21.44,260.00
21.41,260.00
21.44,250.00
21.44,260.00
21.44,260.00
21.44,260.00
21.41,260.00
21.44,260.00
21.44,260.00
21.44,260.00
21.41,260.00
21.44,250.00
21.44,260.00
21.44,250.00
21.44,260.00
21.44,260.00
21.41,260.00
21.41,260.00
21.41,260.00
21.41,260.00
21.41,260.00
21.44,260.00
21.44,260.00
21.41,260.00
21.41,260.00
21.41,260.00
21.41,250.00
21.41,260.00
21.41,260.00
21.41,250.00
21.44,260.00
21.41,260.00
21.41,260.00
21.37,260.00
21.41,250.00
21.41,260.00
21.41,260.00
21.44,260.00
21.41,260.00
21.44,260.00
21.41,250.00
21.41,260.00
21.41,260.00
21.41,260.00
21.41,260.00
21.41,250.00
21.41,260.00
21.44,260.00
21.41,260.00
21.41,250.00
21.41,260.00
21.41,260.00
21.41,260.00
21.41,260.00
21.41,260.00
21.44,260.00
21.37,260.00
21.41,260.00
21.37,260.00
21.41,260.00
21.41,250.00
21.41,260.00
21.41,260.00
21.37,260.00
21.41,250.00
21.41,260.00
21.37,260.00
21.41,260.00
21.37,260.00
21.41,260.00
21.37,260.00
21.37,260.00
21.41,260.00
21.41,260.00
21.37,260.00
21.37,250.00
21.41,260.00
21.41,260.00
21.41,260.00
21.41,260.00
21.37,260.00
21.37,260.00
21.41,260.00
21.41,260.00
21.41,250.00
21.37,260.00
21.41,260.00
21.37,260.00
21.41,260.00
21.37,260.00
21.41,260.00
21.37,260.00
21.37,260.00
21.37,260.00
21.37,260.00
21.37,260.00
21.41,250.00
21.37,250.00
21.37,260.00
