# Donnees Temperature / Potentiel(calibré),pour V :  écart type =3.639071341194875 et moyenne = 258.47682119205297
21.81,260.00
21.81,260.00
21.78,260.00
21.81,260.00
21.78,260.00
21.81,260.00
21.78,260.00
21.81,260.00
21.81,250.00
21.81,260.00
21.81,260.00
21.81,260.00
21.81,260.00
21.81,260.00
21.78,260.00
21.81,260.00
21.78,260.00
21.81,260.00
21.78,260.00
21.81,260.00
21.78,260.00
21.78,260.00
21.78,260.00
21.78,260.00
21.81,260.00
21.81,260.00
21.78,260.00
21.78,260.00
21.78,260.00
21.78,260.00
21.78,260.00
21.78,250.00
21.78,250.00
21.78,260.00
21.78,250.00
21.78,260.00
21.78,260.00
21.78,260.00
21.78,260.00
21.78,260.00
21.74,260.00
21.74,250.00
21.74,260.00
21.78,250.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.78,250.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.78,260.00
21.78,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.78,260.00
21.74,260.00
21.74,250.00
21.74,260.00
21.78,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.71,260.00
21.74,250.00
21.74,260.00
21.74,260.00
21.71,260.00
21.71,260.00
21.74,260.00
21.74,260.00
21.74,260.00
21.71,260.00
21.71,260.00
21.71,250.00
21.74,260.00
21.71,260.00
21.71,260.00
21.71,250.00
21.74,260.00
21.71,260.00
21.71,260.00
21.68,260.00
21.71,260.00
21.68,260.00
21.71,250.00
21.68,260.00
21.71,250.00
21.71,260.00
21.71,260.00
21.68,260.00
21.68,250.00
21.68,260.00
21.68,260.00
21.71,250.00
21.68,260.00
21.68,260.00
21.68,260.00
21.71,260.00
21.71,260.00
21.68,260.00
21.71,260.00
21.71,260.00
21.68,260.00
21.71,260.00
21.71,260.00
21.71,260.00
21.68,260.00
21.68,260.00
21.68,260.00
21.68,260.00
21.71,260.00
21.68,260.00
21.71,260.00
21.68,260.00
21.71,260.00
21.71,260.00
21.68,260.00
21.71,260.00
21.71,250.00
21.71,260.00
21.68,260.00
21.68,260.00
21.68,260.00
21.68,250.00
21.68,260.00
21.68,260.00
21.68,260.00
21.68,250.00
21.68,260.00
21.68,250.00
21.68,260.00
21.68,250.00
21.64,260.00
21.68,260.00
21.68,260.00
21.64,260.00
21.64,260.00
21.64,260.00
21.64,260.00
21.64,260.00
21.64,260.00
21.64,260.00
21.64,260.00
21.64,260.00
21.64,250.00
21.64,260.00
21.68,250.00
21.64,260.00
21.64,250.00
21.64,260.00
21.64,260.00
21.64,250.00
21.64,260.00
21.61,260.00
21.61,260.00
21.61,260.00
21.64,260.00
21.64,260.00
21.64,250.00
21.61,260.00
21.61,260.00
21.64,260.00
21.61,260.00
21.61,260.00
21.61,260.00
21.61,260.00
21.61,260.00
21.61,260.00
21.61,260.00
21.61,260.00
21.61,260.00
21.58,260.00
21.61,260.00
21.61,260.00
21.58,260.00
21.58,260.00
21.58,250.00
21.61,260.00
21.58,260.00
21.58,260.00
21.58,260.00
21.58,260.00
21.58,260.00
21.58,260.00
21.58,250.00
21.58,250.00
21.61,260.00
21.58,260.00
21.61,260.00
21.61,260.00
21.61,260.00
21.61,260.00
21.58,260.00
21.58,260.00
21.58,260.00
21.54,260.00
21.58,260.00
21.58,260.00
21.58,250.00
21.58,250.00
21.58,260.00
21.58,260.00
21.58,260.00
21.54,260.00
21.61,260.00
21.54,260.00
21.61,260.00
21.54,260.00
21.58,260.00
21.58,240.00
21.58,250.00
21.54,250.00
21.58,250.00
21.54,250.00
21.54,250.00
21.54,260.00
21.54,260.00
21.54,260.00
21.54,260.00
21.54,260.00
21.54,260.00
21.54,260.00
21.54,260.00
21.58,260.00
21.54,260.00
21.54,250.00
21.54,260.00
21.54,260.00
21.58,260.00
21.54,260.00
21.54,260.00
21.54,260.00
21.51,260.00
21.54,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,250.00
21.51,260.00
21.54,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,250.00
21.51,260.00
21.47,260.00
21.51,250.00
21.47,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,250.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,250.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,250.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,250.00
21.47,250.00
21.51,250.00
21.47,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.47,250.00
21.47,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.47,260.00
21.47,250.00
21.47,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,250.00
21.47,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,250.00
21.51,260.00
21.51,260.00
21.47,250.00
21.51,260.00
21.47,260.00
21.47,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,250.00
21.51,260.00
21.51,260.00
21.51,250.00
21.51,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,250.00
21.51,250.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.54,250.00
21.51,260.00
21.51,250.00
21.47,260.00
21.47,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.47,250.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.47,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.47,250.00
21.51,260.00
21.51,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,250.00
21.47,260.00
21.47,260.00
21.47,250.00
21.51,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,250.00
21.47,260.00
21.47,260.00
21.51,260.00
21.51,260.00
21.51,260.00
21.47,260.00
21.47,260.00
21.51,260.00
21.51,250.00
21.47,260.00
21.51,260.00
