# Donnees Temperature / Potentiel(calibré),pour V :  écart type =13.552536724910937 et moyenne = 185.82887700534755
-242.02,240.00
-242.02,190.00
-242.02,220.00
-242.02,200.00
-242.02,200.00
-242.02,220.00
-242.02,180.00
-242.02,240.00
-242.02,190.00
-242.02,200.00
-242.02,220.00
-242.02,180.00
-242.02,230.00
-242.02,180.00
-242.02,190.00
-242.02,210.00
-242.02,180.00
-242.02,200.00
-242.02,180.00
-242.02,200.00
-242.02,200.00
-242.02,190.00
-242.02,210.00
-242.02,180.00
-242.02,200.00
-242.02,180.00
-242.02,170.00
-242.02,210.00
-242.02,170.00
-242.02,200.00
-242.02,190.00
-242.02,170.00
-242.02,200.00
-242.02,170.00
-242.02,190.00
-242.02,190.00
-242.02,180.00
-242.02,200.00
-242.02,170.00
-242.02,190.00
-242.02,190.00
-242.02,180.00
-242.02,190.00
-242.02,170.00
-242.02,190.00
-242.02,180.00
-242.02,180.00
-242.02,190.00
-242.02,180.00
-242.02,190.00
-242.02,160.00
-242.02,190.00
-242.02,190.00
-242.02,170.00
-242.02,190.00
-242.02,170.00
-242.02,190.00
-242.02,170.00
-242.02,190.00
-242.02,190.00
-242.02,170.00
-242.02,200.00
-242.02,170.00
-242.02,200.00
-242.02,190.00
-242.02,170.00
-242.02,220.00
-242.02,170.00
-242.02,210.00
-242.02,180.00
-242.02,190.00
-242.02,210.00
-242.02,170.00
-242.02,220.00
-242.02,170.00
-242.02,210.00
-242.02,190.00
-242.02,190.00
-242.02,210.00
-242.02,170.00
-242.02,210.00
-242.02,180.00
-242.02,190.00
-242.02,200.00
-242.02,160.00
-242.02,210.00
-242.02,170.00
-242.02,200.00
-242.02,190.00
-242.02,190.00
-242.02,200.00
-242.02,170.00
-242.02,200.00
-242.02,180.00
-242.02,190.00
-242.02,200.00
-242.02,170.00
-242.02,200.00
-242.02,180.00
-242.02,180.00
-242.02,190.00
-242.02,180.00
-242.02,200.00
-242.02,170.00
-242.02,190.00
-242.02,180.00
-242.02,180.00
-242.02,190.00
-242.02,170.00
-242.02,190.00
-242.02,180.00
-242.02,180.00
-242.02,190.00
-242.02,170.00
-242.02,200.00
-242.02,180.00
-242.02,190.00
-242.02,180.00
-242.02,170.00
-242.02,190.00
-242.02,170.00
-242.02,190.00
-242.02,180.00
-242.02,180.00
-242.02,200.00
-242.02,170.00
-242.02,190.00
-242.02,180.00
-242.02,180.00
-242.02,190.00
-242.02,170.00
-242.02,190.00
-242.02,190.00
-242.02,180.00
-242.02,180.00
-242.02,170.00
-242.02,200.00
-242.02,170.00
-242.02,160.00
-242.02,190.00
-242.02,170.00
-242.02,200.00
-242.02,170.00
-242.02,200.00
-242.02,200.00
-242.02,170.00
-242.02,210.00
-242.02,170.00
-242.02,200.00
-242.02,190.00
-242.02,180.00
-242.02,190.00
-242.02,170.00
-242.02,200.00
-242.02,180.00
-242.02,190.00
-242.02,170.00
-242.02,200.00
-242.02,170.00
-242.02,200.00
-242.02,190.00
-242.02,180.00
-242.02,200.00
-242.02,180.00
-242.02,200.00
-242.02,180.00
-242.02,190.00
-242.02,190.00
-242.02,170.00
-242.02,200.00
-242.02,170.00
-242.02,190.00
-242.02,170.00
-242.02,170.00
-242.02,190.00
-242.02,170.00
-242.02,200.00
-242.02,180.00
-242.02,190.00
-242.02,170.00
-242.02,190.00
-242.02,170.00
-242.02,190.00
-242.02,180.00
-242.02,190.00
-242.02,210.00
-242.02,160.00
-242.02,190.00
-242.02,170.00
-242.02,190.00
-242.02,210.00
-242.02,170.00
-242.02,220.00
-242.02,180.00
-242.02,200.00
-242.02,190.00
-242.02,170.00
-242.02,210.00
-242.02,170.00
-242.02,200.00
-242.02,180.00
-242.02,170.00
-242.02,200.00
-242.02,170.00
-242.02,210.00
-242.02,170.00
-242.02,190.00
