# Donnees Temperature / Potentiel(calibré),pour V :  écart type =3.923834528601811 et moyenne = 251.50862068965517
21.85,250.00
21.81,250.00
21.81,260.00
21.81,250.00
21.81,260.00
21.78,250.00
21.85,250.00
21.81,250.00
21.78,250.00
21.81,260.00
21.81,250.00
21.81,260.00
21.78,250.00
21.81,250.00
21.81,260.00
21.81,250.00
21.81,250.00
21.81,260.00
21.78,250.00
21.81,260.00
21.81,260.00
21.81,250.00
21.81,260.00
21.81,260.00
21.81,260.00
21.81,250.00
21.81,260.00
21.81,260.00
21.81,260.00
21.81,250.00
21.85,250.00
21.85,260.00
21.81,250.00
21.85,260.00
21.81,250.00
21.81,240.00
21.81,250.00
21.85,240.00
21.81,250.00
21.81,250.00
21.85,260.00
21.81,260.00
21.81,250.00
21.81,250.00
21.81,250.00
21.85,250.00
21.85,260.00
21.85,260.00
21.85,250.00
21.88,260.00
21.85,260.00
21.85,250.00
21.85,260.00
21.85,250.00
21.85,250.00
21.85,250.00
21.85,260.00
21.88,250.00
21.85,250.00
21.85,250.00
21.85,260.00
21.85,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.88,250.00
21.85,250.00
21.85,250.00
21.85,260.00
21.88,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.88,250.00
21.85,250.00
21.85,260.00
21.85,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.85,250.00
21.85,260.00
21.85,260.00
21.85,250.00
21.91,250.00
21.88,250.00
21.85,250.00
21.88,250.00
21.88,250.00
21.85,250.00
21.88,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.88,260.00
21.88,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.88,260.00
21.88,250.00
21.91,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.88,260.00
21.85,250.00
21.88,250.00
21.88,250.00
21.88,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.88,250.00
21.88,260.00
21.88,250.00
21.88,250.00
21.85,250.00
21.88,250.00
21.88,250.00
21.85,250.00
21.88,250.00
21.85,250.00
21.85,250.00
21.88,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.88,250.00
21.85,260.00
21.85,250.00
21.85,250.00
21.88,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.88,260.00
21.85,250.00
21.85,250.00
21.85,250.00
21.81,260.00
21.85,250.00
21.85,250.00
21.81,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.81,250.00
21.85,250.00
21.85,250.00
21.81,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.85,250.00
21.81,250.00
21.81,250.00
21.81,250.00
21.81,250.00
21.81,250.00
21.81,250.00
21.85,250.00
21.78,250.00
21.81,250.00
21.81,250.00
21.81,250.00
21.81,250.00
21.85,250.00
21.81,250.00
21.78,250.00
21.81,250.00
21.81,250.00
21.81,250.00
21.81,250.00
21.81,250.00
21.81,250.00
21.81,250.00
21.78,250.00
21.81,250.00
21.81,250.00
21.78,250.00
21.81,250.00
21.78,250.00
21.81,250.00
21.78,250.00
21.81,250.00
21.81,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,260.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.81,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,250.00
21.78,260.00
21.78,240.00
21.74,250.00
21.78,260.00
21.74,250.00
21.78,250.00
21.78,260.00
21.74,250.00
21.71,250.00
21.78,250.00
21.78,260.00
21.74,250.00
