# Donnees Temperature / Potentiel(calibré),pour V :  écart type =4.220353559003199 et moyenne = 251.0144927536232
22.12,260.00
22.12,250.00
22.12,250.00
22.12,250.00
22.15,260.00
22.12,240.00
22.12,260.00
22.12,250.00
22.12,260.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,260.00
22.12,250.00
22.12,260.00
22.15,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.15,250.00
22.15,250.00
22.15,250.00
22.12,250.00
22.12,260.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,260.00
22.12,250.00
22.12,260.00
22.12,250.00
22.12,240.00
22.12,260.00
22.15,260.00
22.12,250.00
22.15,250.00
22.12,240.00
22.12,250.00
22.12,250.00
22.15,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,240.00
22.15,250.00
22.12,260.00
22.12,260.00
22.15,260.00
22.12,260.00
22.12,260.00
22.15,260.00
22.15,260.00
22.15,240.00
22.12,250.00
22.15,250.00
22.15,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.15,250.00
22.12,250.00
22.12,260.00
22.15,250.00
22.15,250.00
22.15,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,260.00
22.08,250.00
22.12,250.00
22.15,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.12,260.00
22.12,250.00
22.12,250.00
22.12,250.00
22.15,250.00
22.12,250.00
22.08,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.08,250.00
22.12,250.00
22.12,250.00
22.12,260.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.08,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.08,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.12,250.00
22.08,250.00
22.12,250.00
22.08,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.08,250.00
22.12,250.00
22.08,250.00
22.12,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.08,250.00
22.12,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,260.00
22.08,240.00
22.05,260.00
22.05,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.12,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.12,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.12,250.00
22.08,250.00
22.08,250.00
22.08,240.00
22.12,260.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,260.00
22.08,250.00
22.08,250.00
22.08,260.00
22.12,240.00
22.08,250.00
22.08,250.00
22.12,240.00
22.05,260.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,250.00
22.08,260.00
22.12,250.00
22.08,250.00
22.12,260.00
22.08,260.00
22.12,250.00
22.12,250.00
22.08,260.00
22.08,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.12,250.00
22.12,250.00
22.08,250.00
22.12,250.00
22.08,260.00
22.12,260.00
22.12,250.00
22.12,250.00
22.12,250.00
22.12,240.00
