# Donnees Temperature / Voltage (calibré),pour V :  écart type =5.656854249492381 et moyenne = 310.00000000000006
-242.02,300.00
-242.02,310.00
-242.02,320.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,310.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,320.00
-242.02,310.00
-242.02,310.00
-242.02,320.00
-242.02,320.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,320.00
-242.02,300.00
-242.02,310.00
-242.02,320.00
-242.02,310.00
-242.02,310.00
-242.02,320.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,320.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,310.00
-242.02,320.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,320.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,320.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,290.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,320.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,320.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,320.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,310.00
-242.02,300.00
-242.02,320.00
