# Donnees Temperature / Voltage (calibré),pour V :  écart type =5.238320341483517 et moyenne = 261.6
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,250.00
-242.02,260.00
-242.02,250.00
-242.02,260.00
-242.02,250.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,250.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,280.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,250.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,260.00
-242.02,250.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,260.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
