# Donnees Temperature / Voltage (calibré),pour V :  écart type =5.778408085277471 et moyenne = 276.9
-242.02,260.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,280.00
-242.02,290.00
-242.02,270.00
-242.02,270.00
-242.02,280.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,260.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,290.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,270.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,290.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,290.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,270.00
-242.02,280.00
-242.02,270.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
-242.02,270.00
-242.02,280.00
-242.02,280.00
-242.02,280.00
