# Donnees Temperature / Potentiel(calibré),pour V :  écart type =5.520254069768653 et moyenne = 466.2741935483871
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,480.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,460.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,480.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,480.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,450.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,450.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,450.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
-242.02,460.00
-242.02,470.00
-242.02,470.00
-242.02,470.00
