# Donnees Temperature / Potentiel(calibré),pour V :  écart type =3.4403022254549898 et moyenne = 440.16949152542367
-242.02,430.00
-242.02,430.00
-242.02,420.00
-242.02,430.00
-242.02,430.00
-242.02,440.00
-242.02,430.00
-242.02,430.00
-242.02,430.00
-242.02,430.00
-242.02,430.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,430.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,450.00
-242.02,440.00
-242.02,430.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,430.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,430.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,430.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,430.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,430.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,440.00
-242.02,450.00
-242.02,450.00
-242.02,440.00
-242.02,440.00
-242.02,450.00
-242.02,450.00
-242.02,450.00
-242.02,450.00
-242.02,450.00
-242.02,440.00
